Barcode,Owning Campus,Material Type,...4,Campus...5,Items added,...7,Num of Items (In Repository),Campus...9,Barcode_Prefix
A0000976803,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000976977,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000977983,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000978049,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000979963,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000984765,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000988881,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0000989319,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000989756,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000989921,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000990143,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000993931,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000998419,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000999474,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001002500,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001009034,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001009562,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001010420,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001011188,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001011543,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001011782,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001018159,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001019215,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001022532,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001023027,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001026640,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001034263,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001034750,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001034867,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001035542,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001036045,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001036060,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001043041,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001045889,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001051614,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001063403,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001063668,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001069509,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001074244,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001076017,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001079417,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001080910,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001086875,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001089127,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001101468,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001102151,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001103407,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001103720,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001112598,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001112630,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001115377,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001115518,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001118231,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001122837,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001127406,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001140086,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001145879,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001148998,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001154939,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001156199,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001156215,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001168863,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001180736,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001184696,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001186568,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001191667,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001192152,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001195346,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001196179,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001196815,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001213461,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001214014,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001217918,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001219054,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001221258,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001221266,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001221316,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001221639,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001221993,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001222595,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001222751,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001225291,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001227651,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001227768,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001227875,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001227941,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001227958,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001233733,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001238385,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001240936,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001249283,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001257047,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001258334,UCI Library,Book,NA,NA,NA,NA,NA,NA,A
A0001258631,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001263003,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001263888,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001265529,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001272012,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001272061,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001283225,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001283506,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001285790,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001286236,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001286715,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001303650,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001304252,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001312735,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001313154,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001314061,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001314137,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001314624,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001316488,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001320704,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001320746,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001320837,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001321421,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001321884,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0001322023,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001322627,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001323039,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001327006,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001330828,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001330901,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001330919,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001331198,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001332022,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001332048,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001340470,UCI Library,Book,NA,NA,NA,NA,NA,NA,A
A0001343474,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001343482,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001343680,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001347483,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001348531,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001351048,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001353036,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001353168,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001353630,UCI Library,Book,NA,NA,NA,NA,NA,NA,A
A0001354240,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001364405,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001366319,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001371749,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001384858,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001396688,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001396993,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001397082,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001397975,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001409341,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001409440,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001409515,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001409846,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001410075,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001410083,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001432483,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001432525,UCI Library,Book,NA,NA,NA,NA,NA,NA,A
A0001432533,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001433044,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001433374,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001438456,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001439116,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001457787,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001458140,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001459254,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001459304,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001459411,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001460245,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001460583,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001461201,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0001461375,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001463652,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001467786,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001468313,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0001475094,UCLA,Book,NA,NA,NA,NA,NA,NA,A
